sya, saya
sy, saya
gue, saya
gw, saya
gua, saya
aku, saya
ak, saya
aq, saya
q, saya
kalo, kalau
klo, kalau
jka, jika
jk, jika
km, kamu
dn, dan
n, dan
baek, baik
sng, senang
snang, senang
lu, kamu
skit, sakit
lgi, lagi
lg, lagi
smw, semua
bwt, buat
slh, salah
pngen, ingin
mw, mau
bnyk, banyak
sdh, sudah
blom, belum
blm, belum
pg, pagi
gmn, bagaimana
gimana, bagaimana
kpn, kapan
brp, berapa
dmn, dimana
sp, siapa
krn, karena
mkan, makan
mrh, marah
sdih, sedih
ap, apa
jln, jalan
nntn, nonton
jlk, jelek
krg, kurang
lbh, lebih
sng, senang
jlek, jelek
ctik, cantik
cntk, cantik
bku, buku
blm, belum
blom, belum
ga, tidak
gak, tidak
tdk, tidak
g, tidak
ngga, tidak
sll, selalu
klh, kalah
mnang, menang
bruk, buruk
duit, uang
dpat, dapat
dpt, dapat
bs, bisa
bsa, bisa
d, di
n, dan
mrk, mereka
tau, tahu
atw, atau
ato, atau
kyk, seperti
bruk, buruk
brk, buruk
bga, bangga
bngga, bangga
unyu, lucu
lcu, lucu
psen, pesan
pkir, pikir
mw, mau
iy, iya
y, iya
hrus, harus
hrs, harus
skali, sekali
hsl, hasil
bgus, bagus
bgs, bagus
tmpt, tempat
maen, main
t4, tempat
jg, juga
jgn, jangan
jngan, jangan
msti, mesti
bku, buku
pake, pakai
kndisi, kondisi
knds, kondisi
mslah, masalah
mslh, masalah
prstiwa, peristiwa
ggu, mengganggu
mncl, muncul
tup, tutup
dtg, datang
dtang, datang
ad, ada
klwar, keluar
kluar, keluar
jdi, jadi
jd, jadi
pts, putus
jth, jatuh
hbs, habis
hbis, habis
trs, terus
trus, terus
ttep, tetap
tetep, tetap
lnjt, lanjut
ptong, potong
bru, baru
bsr, besar
hdp, hidup
mksd, maksud
blas, balas
tp, tapi
tpi, tapi
hnya, hanya
lbh, lebih
mkin, makin
sdar, sadar
brsh, bersih
bnr, benar
hrg, harga
hsl, hasil
skali, sekali
udh, sudah
mhn, mohon
ntr, nanti
t4, tempat
k, ke
mbaik, membaik
manteman, teman -teman
bwt, buat
pk, pakai
taun, tahun
drpd, daripada
lau, kalau
beuttt, sangat
watermeyon, watermelon
sist, mbak
lgsg, langsung
wat, untuk
roso, kuat
tenan, sangat
banget, sangat
sma, sama
nomr, nomor
nmr, nomor
tlng, tolong
byarpet, putus - putus
ky, seperti
kece, keren
unyu, lucu
boong, bohong
trmsk, termasuk
tpi, tapi
bgst, bangsat
berentila, berhentilah
aball, palsu
nggapleki, kurang ajar
udu, bukan
ra, tidak
iso, bisa
buka, dibuka
ki, ini
afuu, anjing
gausah, tidak perlu
siaaan, kasihan
mjd, menjadi
geje, tidak jelas
trobel, salah
alay, keterlaluan
bet, sangat
benefit, keuntungan
thats true, benar
gapake, tidak menggunakan
gapunya, tidak memiliki
s***, bangsat
gaminat, tidak ingin
galau, sedih
berkah, bagus
emergency, gawat
nggak, tidak
gag, tidak
gak, tidak
taunya, tapi ternyata
tersendat, buruk
ancur, rusak
php, bohong
loaddiing, rusak
pdhl, padahal
ngehek, rusak
indosuck, bangsat
pending, rusak
cacad, rusak
failed, rusak
goblok, bodoh
kecrut, rusak
error, rusak
ngenes, sedih
pekok, bodoh
asiiiiiik, senang
njing, anjing
ccd, rusak
sad, sedih
jubilee, bangsat
boong, bohong
lelet, rusak
dikutuk, dihukum
jgn, jangan
lelet, rusak
anti, tidak
aral, rusak
gg, tidak
problem, salah
bejek-bejek, rusak
lopyuuuuu, cinta
gaperna, tidak pernah
etapi, tetapi
cacat, rusak
gede, besar
maaci, terimakasih
thks, terimakasih
brengsekk, bangsat
down, rusak
menipu, bohong
mutilasi, rusak
kekurang, berkurang
kimpeeeeet, bangsat
nyees, bohong
hate, benci
ngadat, rusak
deliv, terkirim
menceng, rusak
bangke, bangsat
asihin, berikan
ajaa, saja
udah, sudah
nggak, tidak
ngga, tidak
mending, lebih baik
dateng, datang
sblmy, sebelumnya
mhn, mohon
jk, jika
gilllaaa, gila
kebnyakan, banyak
uptodate, maju
nambah, menambah
banget, sekali
kelain, untuk lain
krtu, kartu
pke, menggunakan
mau, ingin
abis, habis
abz, habis
liat, melihat
telfon, telepon
kayanya, sepertinya
gini, seperti ini
ya, tentu
bukanlah, tidak
gede, besar
sana, kesana
sini, kesini
kaalo, kalau
trs, terus
gangguuu, mengganggu
bad, buruk
pake, gunakan
benefitnya, keuntunganya
benefit, keuntungan
apa2an, kenapa
emang, memang
palingggg, paling
baikkk, baik
tiap, setiap
liat, melihat
telfonnya, telepon
kayanya, sepertinya
belom, belum
no, tidak
udu, bukan
udeh, sudah
dapet, mendapat
nambah, tambah
nyebelin, menyebalkan
ben-benan, band
trakir, terakhir
spt, seperti
sprt, seperti
thanks, terima kasih
kemaren, kemarin
oke, bagus
telaaat, lambat
bo'ong, bohong
le2t, lambat
keceh, cantik
sneng, seneng
gilaaaaa, gila
eror, rusak
kegalauan, kesedihan
jebot, jelek
always, selalu
kocak, lucu
bege, bagus
kekurang, berkurang
gilaaaaak, gila
gilaaaaakkkkkk, gila
bapuk, lambat
nda, tidak
palak, jelek
pketan, berlangganan
dfq, jelek
bener, benar
iso, bisa
bangkeeee, jelek
anjrittt, jelek
ngakak, senang
jatoh, jatuh
masalah, gangguan
bngst, jelek
lelet, lamba
tahe, jelek
setujuuuu, setuju
bulsit, bohong
sinyall, sinyal
gembel, jelek
anjiiiiir, jelek
mantap, bagus
mubazirrrr, mubazir
down, turun
galau, sedih
makasih, terima kasih
ngilang, menghilang
ilang, hilang
njebak, menjebak
dibagiin, dibagikan
prbaiki, memperbaiki
diskon, potongan
kyk, seperti
prcya, percaya
cemunguutt, semangat
semangaaaatt, semangat
drpd, daripada
adlh, adalah
tangisi, menangisi
sblmnya, sebelumnya
ato, atau
okay, baik
simple, sederhana
ngeselin, menyebalkan
denger, dengar
lakuin, lakukan
lo, kamu
sgala, segala
ama, dengan
medoator, mediator
kasi, memberi
tau, tahu
sbb, sebab
tk, tidak
dapet, dapat
tauk, tahu
rame, ramai
perasan, merasa
smogaaa, semoga
biar, supaya
ngebuat, membuat
pnting, penting
di kenang, dikenang
amiiiin, amin
dsni, di sini
aja, saja
yg, yang
gentleman, pria
tpi, tapi
su, sudah
gw, aku
tdk, tidak
kahwin, menikah
letak, diletakkan
dah, sudah
crown, mahkota
/, atau
tension, tegangan
timpuk, lempar
pake, memakai
high heels, hak tinggi
kagumi, mengagumi
dr, dari
krn, karena
km, kamu
takkan, tidak akan
bs, bisa
terimakasi, terima kasih
awak, kamu
je, saja
slalu, selalu
nak, akan
khabar, kabar
dah, sudah
udah, sudah
tau, tahu
cm, cuma
makasih, terima kasih
ga, tidak
bakal, akan
aja, saja
buat, untuk
gajian, gaji
mulu, terus
bosen, bosan
gue, saya
